State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Total_Power_Parity,Housholds_with_Electric_Lighting,Households_with_Car_Jeep_Van,Households_with_Scooter_Motorcycle_Moped,Higher_Education,Graduate_Education,sex_ratio,literacy_rate
Uttar Pradesh,Saharanpur,30.03381165217392,77.59905147826095,132,3466382,9699,4029,404499,21310,151620,163463,154153,89.0,60.0
Uttar Pradesh,Sant Kabir Nagar,26.791596516393444,83.0387764344262,186,1715183,2031,1850,79525,6778,37986,86528,63506,97.0,56.0
Uttar Pradesh,Shahjahanpur,27.991389350649328,79.8302275324675,152,3006538,3889,3441,115163,9927,73581,96308,87355,87.0,50.0
Uttar Pradesh,Sitapur,27.501995963091108,80.85288881199547,154,4483992,3874,4535,102040,11679,88916,136383,127750,89.0,51.0
Uttar Pradesh,Sonbhadra,24.46693268858798,83.06816324951639,200,1862559,5149,2337,95582,10279,50700,82614,63846,92.0,53.0
Uttar Pradesh,Sultanpur,26.2846386419753,82.05710456790123,179,3797117,5956,4190,233701,18382,104307,188848,176414,98.0,59.0
Uttar Pradesh,Unnao,26.63163990895297,80.636773292868,156,3108367,3476,3620,99466,10191,79130,136688,101934,91.0,57.0
Uttar Pradesh,Varanasi,25.36057088888889,82.82529666666672,197,3676841,19214,5059,336056,24216,157861,351391,281652,91.0,65.0
Uttaranchal,Almora,29.683532133676103,79.50165064267351,64,622506,1830,742,109876,3396,6719,53026,37742,114.0,70.0
Uttaranchal,Bageshwar,29.98703393393397,79.83954354354357,63,259898,435,281,47083,1149,2005,20785,10900,109.0,69.0
Uttaranchal,Chamoli,30.58338611464965,79.56281095541402,57,391605,899,467,71524,2516,2311,32557,27168,102.0,72.0
Uttaranchal,Champawat,29.29142393939393,80.07720212121217,65,259648,548,309,37725,1387,5151,18360,15110,98.0,68.0
Uttaranchal,Pithoragarh,30.14720631868129,80.34229230769236,62,483439,1344,631,95421,3008,6136,42086,28375,102.0,71.0
Uttaranchal,Tehri Garhwal,30.463700918635173,78.48783792650917,59,618931,1366,743,117239,4324,9697,58434,30704,108.0,66.0
Uttaranchal,Udham Singh Nagar,29.02779577677222,79.45629004524895,67,1648902,7883,1805,254802,16841,88369,113661,111062,92.0,63.0
Uttaranchal,Uttarkashi,30.968958552036234,78.56880615384617,56,330086,602,356,52621,1637,4046,24989,18882,96.0,65.0
West Bengal,Bankura,23.081280892857155,87.12640053571437,339,3596674,4273,3959,334670,7898,72350,143882,133465,96.0,62.0
West Bengal,Barddhaman,23.444453888888884,87.8150581111111,335,7717563,32323,13547,1049943,46714,263368,405935,439823,95.0,68.0
West Bengal,Birbhum,24.06389342723,87.65153089201888,334,3502404,5210,3911,333752,7305,54557,122865,115743,96.0,62.0
West Bengal,Dakshin Dinajpur,25.342094363021435,88.69821679819614,331,1676276,2518,2039,168069,6211,20163,63286,52345,96.0,65.0
West Bengal,Darjiling,26.839619571045585,88.33145067024122,327,1846823,10943,3146,297176,15192,39828,113905,110193,97.0,71.0
West Bengal,Haora,22.401674174428507,87.99421176968654,341,4850029,30751,9414,796953,22295,122818,284481,304594,94.0,74.0
West Bengal,Hugli,22.87929264705881,88.00010264705891,338,5519145,31725,9450,965258,24013,167753,333658,380060,96.0,74.0
West Bengal,Jalpaiguri,26.62642031250004,89.04154375000003,328,3872846,9322,5160,382500,16431,67075,150360,129393,95.0,65.0
West Bengal,Kolkata,22.550581481481483,88.3527648148148,342,4496694,136618,16375,927602,85605,117173,425245,691804,91.0,80.0
West Bengal,Maldah,25.08026802575105,88.17191684549356,332,3988845,5357,4191,297716,9639,41600,109719,92207,94.0,52.0
West Bengal,Murshidabad,24.25950655391121,88.16816860465121,333,7103807,7951,8088,541169,14050,74313,230242,170051,96.0,57.0
West Bengal,Nadia,23.56410971055088,88.58293034547152,336,5167600,12787,7048,623729,18658,76698,236828,209562,95.0,67.0
West Bengal,Puruliya,23.254192328767108,86.3968532876713,340,2930115,3551,3309,189889,6602,49630,91807,77621,96.0,55.0
West Bengal,Uttar Dinajpur,26.044619165196977,88.23595232216337,330,3007134,2883,3214,199307,8150,31859,73395,59457,94.0,50.0
